country,year,cancer_type,gender,incident_count,i_crude_rate,mortality_count,m_crude_rate
Australia,2011,OESOPHAGEAL,F,409,3.6,336,3.0
Australia,2012,OESOPHAGEAL,F,419,3.7,331,2.9
Australia,2013,OESOPHAGEAL,F,419,3.6,370,3.2
Australia,2014,OESOPHAGEAL,F,429,3.6,322,2.7
Australia,2015,OESOPHAGEAL,F,,,380,3.2
Australia,1968,OESOPHAGEAL,P,,,365,3.0
Australia,1969,OESOPHAGEAL,P,,,348,2.8
Australia,1970,OESOPHAGEAL,P,,,397,3.2
Australia,1971,OESOPHAGEAL,P,,,389,3.0
Australia,1972,OESOPHAGEAL,P,,,421,3.2
Australia,1973,OESOPHAGEAL,P,,,447,3.3
Australia,1974,OESOPHAGEAL,P,,,430,3.1
Australia,1975,OESOPHAGEAL,P,,,500,3.6
Australia,1976,OESOPHAGEAL,P,,,493,3.5
Australia,1977,OESOPHAGEAL,P,,,522,3.7
Australia,1978,OESOPHAGEAL,P,,,537,3.7
Australia,1979,OESOPHAGEAL,P,,,520,3.6
Australia,1980,OESOPHAGEAL,P,,,512,3.5
Australia,1981,OESOPHAGEAL,P,,,552,3.7
Australia,1982,OESOPHAGEAL,P,537,3.5,527,3.5
Australia,1983,OESOPHAGEAL,P,607,3.9,585,3.8
Australia,1984,OESOPHAGEAL,P,668,4.3,616,4.0
Australia,1985,OESOPHAGEAL,P,663,4.2,677,4.3
Australia,1986,OESOPHAGEAL,P,641,4.0,618,3.9
Australia,1987,OESOPHAGEAL,P,760,4.7,696,4.3
Australia,1988,OESOPHAGEAL,P,840,5.1,786,4.8
Australia,1989,OESOPHAGEAL,P,732,4.4,774,4.6
Australia,1990,OESOPHAGEAL,P,802,4.7,725,4.2
Australia,1991,OESOPHAGEAL,P,848,4.9,796,4.6
Australia,1992,OESOPHAGEAL,P,860,4.9,813,4.7
Australia,1993,OESOPHAGEAL,P,918,5.2,829,4.7
Australia,1994,OESOPHAGEAL,P,956,5.4,875,4.9
Australia,1995,OESOPHAGEAL,P,948,5.3,910,5.1
Australia,1996,OESOPHAGEAL,P,989,5.4,930,5.1
Australia,1997,OESOPHAGEAL,P,977,5.3,945,5.1
Australia,1998,OESOPHAGEAL,P,"1,005",5.4,976,5.2
Australia,1999,OESOPHAGEAL,P,"1,086",5.8,940,5.0
Australia,2000,OESOPHAGEAL,P,"1,082",5.7,971,5.1
Australia,2001,OESOPHAGEAL,P,"1,088",5.6,"1,040",5.4
Australia,2002,OESOPHAGEAL,P,"1,088",5.6,"1,005",5.2
Australia,2003,OESOPHAGEAL,P,"1,169",5.9,"1,130",5.7
Australia,2004,OESOPHAGEAL,P,"1,225",6.1,"1,088",5.5
Australia,2005,OESOPHAGEAL,P,"1,180",5.8,"1,176",5.8
Australia,2006,OESOPHAGEAL,P,"1,242",6.1,"1,156",5.7
Australia,2007,OESOPHAGEAL,P,"1,282",6.2,"1,118",5.4
Australia,2008,OESOPHAGEAL,P,"1,316",6.2,"1,207",5.7
Australia,2009,OESOPHAGEAL,P,"1,280",5.9,"1,176",5.4
Australia,2010,OESOPHAGEAL,P,"1,423",6.5,"1,196",5.4
Australia,2011,OESOPHAGEAL,P,"1,410",6.3,"1,240",5.6
Australia,2012,OESOPHAGEAL,P,"1,405",6.2,"1,218",5.4
Australia,2013,OESOPHAGEAL,P,"1,418",6.1,"1,260",5.5
Australia,2014,OESOPHAGEAL,P,"1,457",6.2,"1,197",5.1
Australia,2015,OESOPHAGEAL,P,,,"1,329",5.6
Australia,1968,THYROID,P,,,19,0.3
Australia,1969,THYROID,P,,,17,0.3
Australia,1970,THYROID,P,,,24,0.4
Australia,1971,THYROID,P,,,28,0.4
Australia,1972,THYROID,P,,,15,0.2
Australia,1973,THYROID,P,,,13,0.2
Australia,1974,THYROID,P,,,21,0.3
Australia,1975,THYROID,P,,,25,0.4
Australia,1976,THYROID,P,,,28,0.4
Australia,1977,THYROID,P,,,14,0.2
Australia,1978,THYROID,P,,,15,0.2
Australia,1979,THYROID,P,,,25,0.3
Australia,1980,THYROID,P,,,15,0.2
Australia,1981,THYROID,P,,,16,0.2
Australia,1982,THYROID,P,105,1.4,27,0.4
Australia,1983,THYROID,P,102,1.3,22,0.3
Australia,1984,THYROID,P,115,1.5,30,0.4
Australia,1985,THYROID,P,123,1.6,14,0.2
Australia,1986,THYROID,P,116,1.4,27,0.3
Australia,1987,THYROID,P,114,1.4,31,0.4
Australia,1988,THYROID,P,125,1.5,18,0.2
Australia,1989,THYROID,P,140,1.7,19,0.2
Australia,1990,THYROID,P,153,1.8,46,0.5
Australia,1991,THYROID,P,164,1.9,26,0.3
Australia,1992,THYROID,P,179,2.1,37,0.4
Australia,1993,THYROID,P,151,1.7,30,0.3
Australia,1994,THYROID,P,184,2.1,24,0.3
Australia,1995,THYROID,P,201,2.2,22,0.2
Australia,1996,THYROID,P,246,2.7,29,0.3
Australia,1997,THYROID,P,227,2.5,35,0.4
Australia,1998,THYROID,P,264,2.9,37,0.4
Australia,1999,THYROID,P,252,2.7,36,0.4
Australia,2000,THYROID,P,278,2.9,40,0.4
Australia,2001,THYROID,P,304,3.2,34,0.4
Australia,2002,THYROID,P,287,3.0,36,0.4
Australia,2003,THYROID,P,359,3.7,42,0.4
