station_number,state_code,state_name,country
7130,WA,West Australia,Australia
7131,WA,West Australia,Australia
7132,WA,West Australia,Australia
7133,WA,West Australia,Australia
7134,WA,West Australia,Australia
7135,WA,West Australia,Australia
7136,WA,West Australia,Australia
7137,WA,West Australia,Australia
7138,WA,West Australia,Australia
7139,WA,West Australia,Australia
7140,WA,West Australia,Australia
7141,WA,West Australia,Australia
7142,WA,West Australia,Australia
7143,WA,West Australia,Australia
7144,WA,West Australia,Australia
7145,WA,West Australia,Australia
7146,WA,West Australia,Australia
7147,WA,West Australia,Australia
7148,WA,West Australia,Australia
7149,WA,West Australia,Australia
7150,WA,West Australia,Australia
7151,WA,West Australia,Australia
7152,WA,West Australia,Australia
7153,WA,West Australia,Australia
7154,WA,West Australia,Australia
7155,WA,West Australia,Australia
7156,WA,West Australia,Australia
7157,WA,West Australia,Australia
7158,WA,West Australia,Australia
7159,WA,West Australia,Australia
7160,WA,West Australia,Australia
7161,WA,West Australia,Australia
7162,WA,West Australia,Australia
7163,WA,West Australia,Australia
7164,WA,West Australia,Australia
7165,WA,West Australia,Australia
7166,WA,West Australia,Australia
7167,WA,West Australia,Australia
7168,WA,West Australia,Australia
7169,WA,West Australia,Australia
7170,WA,West Australia,Australia
7171,WA,West Australia,Australia
7172,WA,West Australia,Australia
7173,WA,West Australia,Australia
7174,WA,West Australia,Australia
7175,WA,West Australia,Australia
7176,WA,West Australia,Australia
7177,WA,West Australia,Australia
7178,WA,West Australia,Australia
7179,WA,West Australia,Australia
7180,WA,West Australia,Australia
7181,WA,West Australia,Australia
7182,WA,West Australia,Australia
7183,WA,West Australia,Australia
7184,WA,West Australia,Australia
7185,WA,West Australia,Australia
7186,WA,West Australia,Australia
7187,WA,West Australia,Australia
7188,WA,West Australia,Australia
7189,WA,West Australia,Australia
7190,WA,West Australia,Australia
7191,WA,West Australia,Australia
7192,WA,West Australia,Australia
7193,WA,West Australia,Australia
7194,WA,West Australia,Australia
7195,WA,West Australia,Australia
7196,WA,West Australia,Australia
7197,WA,West Australia,Australia
7198,WA,West Australia,Australia
7199,WA,West Australia,Australia
7200,WA,West Australia,Australia
7201,WA,West Australia,Australia
7202,WA,West Australia,Australia
7203,WA,West Australia,Australia
7204,WA,West Australia,Australia
7205,WA,West Australia,Australia
7206,WA,West Australia,Australia
7207,WA,West Australia,Australia
7208,WA,West Australia,Australia
7209,WA,West Australia,Australia
7210,WA,West Australia,Australia
7211,WA,West Australia,Australia
7300,WA,West Australia,Australia
7500,WA,West Australia,Australia
7600,WA,West Australia,Australia
8000,WA,West Australia,Australia
8001,WA,West Australia,Australia
8002,WA,West Australia,Australia
8003,WA,West Australia,Australia
8004,WA,West Australia,Australia
8005,WA,West Australia,Australia
8006,WA,West Australia,Australia
8007,WA,West Australia,Australia
8008,WA,West Australia,Australia
8009,WA,West Australia,Australia
8010,WA,West Australia,Australia
8011,WA,West Australia,Australia
8012,WA,West Australia,Australia
8013,WA,West Australia,Australia
8014,WA,West Australia,Australia
8015,WA,West Australia,Australia
8016,WA,West Australia,Australia
8017,WA,West Australia,Australia
8018,WA,West Australia,Australia
8019,WA,West Australia,Australia
8020,WA,West Australia,Australia
8021,WA,West Australia,Australia
8022,WA,West Australia,Australia
8023,WA,West Australia,Australia
8024,WA,West Australia,Australia
8025,WA,West Australia,Australia
8026,WA,West Australia,Australia
8027,WA,West Australia,Australia
8028,WA,West Australia,Australia
8029,WA,West Australia,Australia
8030,WA,West Australia,Australia
8031,WA,West Australia,Australia
8032,WA,West Australia,Australia
8033,WA,West Australia,Australia
8034,WA,West Australia,Australia
8035,WA,West Australia,Australia
8036,WA,West Australia,Australia
8037,WA,West Australia,Australia
8038,WA,West Australia,Australia
8039,WA,West Australia,Australia
8040,WA,West Australia,Australia
8041,WA,West Australia,Australia
8042,WA,West Australia,Australia
8043,WA,West Australia,Australia
8044,WA,West Australia,Australia
8045,WA,West Australia,Australia
8046,WA,West Australia,Australia
8047,WA,West Australia,Australia
8048,WA,West Australia,Australia
8049,WA,West Australia,Australia
8050,WA,West Australia,Australia
8051,WA,West Australia,Australia
8052,WA,West Australia,Australia
8053,WA,West Australia,Australia
8054,WA,West Australia,Australia
8055,WA,West Australia,Australia
8056,WA,West Australia,Australia
8057,WA,West Australia,Australia
8058,WA,West Australia,Australia
8059,WA,West Australia,Australia
8060,WA,West Australia,Australia
8061,WA,West Australia,Australia
8062,WA,West Australia,Australia
8063,WA,West Australia,Australia
8064,WA,West Australia,Australia
8065,WA,West Australia,Australia
8066,WA,West Australia,Australia
8067,WA,West Australia,Australia
8068,WA,West Australia,Australia
8069,WA,West Australia,Australia
8070,WA,West Australia,Australia
8071,WA,West Australia,Australia
8072,WA,West Australia,Australia
8073,WA,West Australia,Australia
8074,WA,West Australia,Australia
8075,WA,West Australia,Australia
8076,WA,West Australia,Australia
8077,WA,West Australia,Australia
8078,WA,West Australia,Australia
8079,WA,West Australia,Australia
8080,WA,West Australia,Australia
8081,WA,West Australia,Australia
8082,WA,West Australia,Australia
8083,WA,West Australia,Australia
8084,WA,West Australia,Australia
8085,WA,West Australia,Australia
8086,WA,West Australia,Australia
8087,WA,West Australia,Australia
8088,WA,West Australia,Australia
8089,WA,West Australia,Australia
8090,WA,West Australia,Australia
8091,WA,West Australia,Australia
8092,WA,West Australia,Australia
8093,WA,West Australia,Australia
8094,WA,West Australia,Australia
8095,WA,West Australia,Australia
8096,WA,West Australia,Australia
8097,WA,West Australia,Australia
8098,WA,West Australia,Australia
8099,WA,West Australia,Australia
8100,WA,West Australia,Australia
8101,WA,West Australia,Australia
8102,WA,West Australia,Australia
8103,WA,West Australia,Australia
8104,WA,West Australia,Australia
8105,WA,West Australia,Australia
8106,WA,West Australia,Australia
8107,WA,West Australia,Australia
8108,WA,West Australia,Australia
