station_number,lat,long,station_name,year,tmean
032025,-17.53,146.03,INNISFAIL,1989,24.0
032025,-17.53,146.03,INNISFAIL,1990,24.1
032025,-17.53,146.03,INNISFAIL,1991,24.0
032025,-17.53,146.03,INNISFAIL,1992,24.5
032025,-17.53,146.03,INNISFAIL,1993,24.1
032025,-17.53,146.03,INNISFAIL,1994,23.9
032025,-17.53,146.03,INNISFAIL,1995,24.5
032025,-17.53,146.03,INNISFAIL,1996,24.5
032025,-17.53,146.03,INNISFAIL,1997,23.9
032025,-17.53,146.03,INNISFAIL,1998,25.4
032025,-17.53,146.03,INNISFAIL,1999,23.8
032025,-17.53,146.03,INNISFAIL,2000,24.0
032025,-17.53,146.03,INNISFAIL,2001,24.5
032025,-17.53,146.03,INNISFAIL,2002,24.3
032025,-17.53,146.03,INNISFAIL,2003,24.5
032025,-17.53,146.03,INNISFAIL,2004,24.4
032025,-17.53,146.03,INNISFAIL,2005,24.6
032025,-17.53,146.03,INNISFAIL,2006,24.2
032025,-17.53,146.03,INNISFAIL,2007,24.1
032025,-17.53,146.03,INNISFAIL,2008,24.3
032025,-17.53,146.03,INNISFAIL,2009,24.4
032025,-17.53,146.03,INNISFAIL,2010,25.1
032025,-17.53,146.03,INNISFAIL,2011,23.9
032025,-17.53,146.03,INNISFAIL,2012,24.0
009518,-34.37,115.13,CAPE LEEUWIN,1910,16.3
009518,-34.37,115.13,CAPE LEEUWIN,1911,16.1
009518,-34.37,115.13,CAPE LEEUWIN,1912,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1913,16.5
009518,-34.37,115.13,CAPE LEEUWIN,1914,16.8
009518,-34.37,115.13,CAPE LEEUWIN,1915,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1916,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1917,15.7
009518,-34.37,115.13,CAPE LEEUWIN,1918,16.7
009518,-34.37,115.13,CAPE LEEUWIN,1919,16.2
009518,-34.37,115.13,CAPE LEEUWIN,1920,16.7
009518,-34.37,115.13,CAPE LEEUWIN,1921,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1922,16.2
009518,-34.37,115.13,CAPE LEEUWIN,1923,16.3
009518,-34.37,115.13,CAPE LEEUWIN,1924,16.4
009518,-34.37,115.13,CAPE LEEUWIN,1925,16.5
009518,-34.37,115.13,CAPE LEEUWIN,1926,16.3
009518,-34.37,115.13,CAPE LEEUWIN,1927,16.4
009518,-34.37,115.13,CAPE LEEUWIN,1928,16.4
009518,-34.37,115.13,CAPE LEEUWIN,1929,15.9
009518,-34.37,115.13,CAPE LEEUWIN,1930,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1931,16.3
009518,-34.37,115.13,CAPE LEEUWIN,1932,16.7
009518,-34.37,115.13,CAPE LEEUWIN,1933,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1934,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1935,16.3
009518,-34.37,115.13,CAPE LEEUWIN,1936,16.5
009518,-34.37,115.13,CAPE LEEUWIN,1937,16.8
009518,-34.37,115.13,CAPE LEEUWIN,1938,16.3
009518,-34.37,115.13,CAPE LEEUWIN,1939,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1940,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1941,16.5
009518,-34.37,115.13,CAPE LEEUWIN,1942,16.4
009518,-34.37,115.13,CAPE LEEUWIN,1943,16.1
009518,-34.37,115.13,CAPE LEEUWIN,1944,16.8
009518,-34.37,115.13,CAPE LEEUWIN,1945,16.8
009518,-34.37,115.13,CAPE LEEUWIN,1946,16.1
009518,-34.37,115.13,CAPE LEEUWIN,1947,16.5
