station_number,lat,long,station_name,year,rainfall
024515,-35.30,139.03,LANGHORNE CREEK,1968,454.9
024515,-35.30,139.03,LANGHORNE CREEK,1969,460.2
024515,-35.30,139.03,LANGHORNE CREEK,1970,450.2
024515,-35.30,139.03,LANGHORNE CREEK,1971,456.2
024515,-35.30,139.03,LANGHORNE CREEK,1972,320.7
024515,-35.30,139.03,LANGHORNE CREEK,1973,407.5
024515,-35.30,139.03,LANGHORNE CREEK,1974,570.3
024515,-35.30,139.03,LANGHORNE CREEK,1975,361.8
024515,-35.30,139.03,LANGHORNE CREEK,1976,369.5
024515,-35.30,139.03,LANGHORNE CREEK,1977,287.8
024515,-35.30,139.03,LANGHORNE CREEK,1978,457.1
024515,-35.30,139.03,LANGHORNE CREEK,1979,407.5
024515,-35.30,139.03,LANGHORNE CREEK,1980,330.2
024515,-35.30,139.03,LANGHORNE CREEK,1981,382.0
024515,-35.30,139.03,LANGHORNE CREEK,1982,250.4
024515,-35.30,139.03,LANGHORNE CREEK,1983,480.9
024515,-35.30,139.03,LANGHORNE CREEK,1984,374.0
024515,-35.30,139.03,LANGHORNE CREEK,1985,439.8
024515,-35.30,139.03,LANGHORNE CREEK,1986,386.9
024515,-35.30,139.03,LANGHORNE CREEK,1987,419.6
024515,-35.30,139.03,LANGHORNE CREEK,1988,331.2
024515,-35.30,139.03,LANGHORNE CREEK,1989,410.0
024515,-35.30,139.03,LANGHORNE CREEK,1990,402.2
024515,-35.30,139.03,LANGHORNE CREEK,1991,336.8
024515,-35.30,139.03,LANGHORNE CREEK,1992,623.4
024515,-35.30,139.03,LANGHORNE CREEK,1993,358.8
024515,-35.30,139.03,LANGHORNE CREEK,1994,290.2
024515,-35.30,139.03,LANGHORNE CREEK,1995,309.8
024515,-35.30,139.03,LANGHORNE CREEK,1996,415.4
024515,-35.30,139.03,LANGHORNE CREEK,1997,368.2
024515,-35.30,139.03,LANGHORNE CREEK,1998,353.8
024515,-35.30,139.03,LANGHORNE CREEK,1999,288.2
024515,-35.30,139.03,LANGHORNE CREEK,2000,447.0
024515,-35.30,139.03,LANGHORNE CREEK,2001,383.6
024515,-35.30,139.03,LANGHORNE CREEK,2002,253.8
024515,-35.30,139.03,LANGHORNE CREEK,2003,435.6
024515,-35.30,139.03,LANGHORNE CREEK,2004,332.3
024515,-35.30,139.03,LANGHORNE CREEK,2005,474.6
024515,-35.30,139.03,LANGHORNE CREEK,2006,253.3
024515,-35.30,139.03,LANGHORNE CREEK,2007,323.2
024515,-35.30,139.03,LANGHORNE CREEK,2008,328.4
024515,-35.30,139.03,LANGHORNE CREEK,2009,358.8
024515,-35.30,139.03,LANGHORNE CREEK,2010,484.4
024515,-35.30,139.03,LANGHORNE CREEK,2011,413.4
024515,-35.30,139.03,LANGHORNE CREEK,2012,443.5
024515,-35.30,139.03,LANGHORNE CREEK,2013,394.6
024515,-35.30,139.03,LANGHORNE CREEK,2014,309.6
024515,-35.30,139.03,LANGHORNE CREEK,2015,405.2
024515,-35.30,139.03,LANGHORNE CREEK,2016,486.0
024515,-35.30,139.03,LANGHORNE CREEK,2017,409.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1887,850.8
029004,-17.74,139.55,BURKETOWN POST OFFICE,1888,429.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,1889,925.6
029004,-17.74,139.55,BURKETOWN POST OFFICE,1890,938.6
029004,-17.74,139.55,BURKETOWN POST OFFICE,1891,1680.6
029004,-17.74,139.55,BURKETOWN POST OFFICE,1892,326.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,1893,287.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1894,1930.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,1895,606.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,1896,657.3
029004,-17.74,139.55,BURKETOWN POST OFFICE,1897,802.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,1898,437.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1899,920.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,1900,357.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,1901,839.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,1902,187.6
029004,-17.74,139.55,BURKETOWN POST OFFICE,1903,1292.7
029004,-17.74,139.55,BURKETOWN POST OFFICE,1904,765.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1905,263.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1906,458.9
029004,-17.74,139.55,BURKETOWN POST OFFICE,1907,813.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,1908,499.8
029004,-17.74,139.55,BURKETOWN POST OFFICE,1909,678.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,1910,575.8
029004,-17.74,139.55,BURKETOWN POST OFFICE,1911,706.7
029004,-17.74,139.55,BURKETOWN POST OFFICE,1912,415.7
029004,-17.74,139.55,BURKETOWN POST OFFICE,1913,517.6
029004,-17.74,139.55,BURKETOWN POST OFFICE,1914,520.8
029004,-17.74,139.55,BURKETOWN POST OFFICE,1915,449.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,1916,693.3
029004,-17.74,139.55,BURKETOWN POST OFFICE,1917,684.0
029004,-17.74,139.55,BURKETOWN POST OFFICE,1918,682.8
029004,-17.74,139.55,BURKETOWN POST OFFICE,1919,801.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,1920,1092.2
029004,-17.74,139.55,BURKETOWN POST OFFICE,1921,873.6
029004,-17.74,139.55,BURKETOWN POST OFFICE,1922,1038.3
029004,-17.74,139.55,BURKETOWN POST OFFICE,1923,336.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,1924,1021.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,1925,969.2
029004,-17.74,139.55,BURKETOWN POST OFFICE,1926,438.7
029004,-17.74,139.55,BURKETOWN POST OFFICE,1927,827.1
029004,-17.74,139.55,BURKETOWN POST OFFICE,1928,912.2
029004,-17.74,139.55,BURKETOWN POST OFFICE,1929,552.4
029004,-17.74,139.55,BURKETOWN POST OFFICE,1930,1059.5
029004,-17.74,139.55,BURKETOWN POST OFFICE,1931,462.4
